GlimmerHMM
Sequence name: gi|23613028|ref|NC_004326.1|
Sequence length: 69930 bp

Predicted genes/exons

Gene Exon Strand  Exon            Exon Range      Exon
   #    #         Type                           Length


   1    1  +  Terminal       2235       2284       50

   2    1  -  Terminal       2324       2340       17
   2    2  -  Initial        2413       2434       22

   3    1  +  Initial        2461       2667      207
   3    2  +  Internal       2937       2989       53
   3    3  +  Internal       4203       4216       14
   3    4  +  Terminal       4587       4627       41

   4    1  +  Initial        4628       4669       42
   4    2  +  Terminal       5063       5083       21

   5    1  -  Terminal       5095       5102        8
   5    2  -  Initial        5108       5129       22

   6    1  -  Single         5138       5152       15

   7    1  -  Single         5158       5205       48

   8    1  +  Single         5214       5252       39

   9    1  +  Initial        5262       5469      208
   9    2  +  Terminal       5538       5647      110

  10    1  +  Initial        5663       5665        3
  10    2  +  Terminal       5712       5942      231

  11    1  +  Initial        5952       6159      208
  11    2  +  Terminal       6228       6337      110

  12    1  +  Initial        6353       6355        3
  12    2  +  Internal       6402       6431       30
  12    3  +  Internal       6463       6489       27
  12    4  +  Internal       6563       6707      145
  12    5  +  Internal       6911       6960       50
  12    6  +  Internal       7252       7399      148
  12    7  +  Internal       7672       7860      189
  12    8  +  Internal       7915       7967       53
  12    9  +  Internal       8030       8198      169
  12   10  +  Terminal       8204       8322      119

  13    1  +  Initial        8329       8385       57
  13    2  +  Internal       8721       8748       28
  13    3  +  Internal       8820       8976      157
  13    4  +  Terminal      11310      11361       52

  14    1  -  Single        11364      11375       12

  15    1  -  Single        11378      11386        9

  16    1  -  Terminal      11411      11413        3
  16    2  -  Initial       11522      11533       12

  17    1  +  Initial       11541      11595       55
  17    2  +  Internal      11926      11967       42
  17    3  +  Internal      12472      12483       12
  17    4  +  Terminal      12641      12921      281

  18    1  +  Initial       12928      13035      108
  18    2  +  Internal      13334      13350       17
  18    3  +  Internal      13376      13383        8
  18    4  +  Internal      13397      13455       59
  18    5  +  Internal      13481      13497       17
  18    6  +  Internal      13502      13530       29
  18    7  +  Internal      13603      13615       13
  18    8  +  Internal      13649      13656        8
  18    9  +  Internal      13776      13960      185
  18   10  +  Internal      13965      13972        8
  18   11  +  Internal      14173      14189       17
  18   12  +  Internal      14236      14252       17
  18   13  +  Internal      14277      14293       17
  18   14  +  Internal      14487      14515       29
  18   15  +  Internal      14844      14860       17
  18   16  +  Internal      15281      15309       29
  18   17  +  Internal      15470      15477        8
  18   18  +  Internal      15743      15750        8
  18   19  +  Internal      15764      15771        8
  18   20  +  Internal      15785      15792        8
  18   21  +  Internal      16122      16128        7
  18   22  +  Internal      16478      16506       29
  18   23  +  Terminal      17424      17662      239

  19    1  +  Initial       17669      17741       73
  19    2  +  Internal      17907      18091      185
  19    3  +  Internal      18139      18146        8
  19    4  +  Internal      18159      18237       79
  19    5  +  Internal      18275      18292       18
  19    6  +  Internal      18431      18532      102
  19    7  +  Internal      18813      18839       27
  19    8  +  Internal      18933      18943       11
  19    9  +  Internal      19248      19269       22
  19   10  +  Internal      19423      19486       64
  19   11  +  Internal      19520      19551       32
  19   12  +  Internal      19671      19744       74
  19   13  +  Internal      19799      19944      146
  19   14  +  Internal      20356      20421       66
  19   15  +  Internal      20912      26376     5465
  19   16  +  Internal      27215      28172      958
  19   17  +  Internal      28378      28381        4
  19   18  +  Internal      28440      28617      178
  19   19  +  Internal      28980      29244      265
  19   20  +  Internal      29259      29330       72
